Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
Salary assignments for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2483,Savings account,1 - 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,39,critical account/ other credits existing (not at this bank),furniture/equipment,14179,Savings account,4- 7 years,4,male : single,none,4,building society savings agreement/ life insurance,30,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,13,critical account/ other credits existing (not at this bank),business,1797,Savings account, < 1 year,3,male : single,none,1,building society savings agreement/ life insurance,28,bank,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,15,existing credits paid back duly till now,car(new),2511,Savings account,unemployed,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,car(new),1274,Savings account, < 1 year,3,female : divorced/separated/married,none,1,real estate,37,none,own,1,unskilled - resident,1,None,yes,2
No Checking account,21,existing credits paid back duly till now,car(used),5248,Savings account,1 - 4 years,1,male : single,none,3,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,15,existing credits paid back duly till now,car(used),3029,Savings account,4- 7 years,2,male : single,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,428,Savings account,> 7 years,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,49,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,car(new),976,Savings account, < 1 year,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 2 year,12,existing credits paid back duly till now,business,841,Savings account,4- 7 years,2,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,None,yes,1
No Checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,Savings account,4- 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,12,delay in paying off in the past,repairs,1555,Savings account,> 7 years,4,male : single,none,4,unknown / no property,55,none,for free,2,skilled employee / official,2,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),1285,Savings account,4- 7 years,4,female : divorced/separated/married,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 3 year,6,critical account/ other credits existing (not at this bank),car(new),1299,Savings account,1 - 4 years,1,male : single,none,1,real estate,74,none,own,3,unemployed/ unskilled - non-resident,2,None,no,1
Salary assignments for at least 3 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,Savings account,1 - 4 years,3,male : single,none,4,unknown / no property,39,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,24,existing credits paid back duly till now,car(new),1393,Savings account,1 - 4 years,2,male : single,guarantor,2,real estate,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(new),691,Savings account,> 7 years,4,male : single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,None,yes,2
No Checking account,15,critical account/ other credits existing (not at this bank),car(new),5045,Savings account,> 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",59,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,2214,Savings account,1 - 4 years,4,male : single,none,3,building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,None,yes,1
No Checking account,21,critical account/ other credits existing (not at this bank),car(new),12680,Savings account,> 7 years,4,male : single,none,4,unknown / no property,30,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),car(new),2463,Savings account,4- 7 years,4,male : married/widowed,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,1155,Savings account,> 7 years,3,male : married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,30,existing credits paid back duly till now,furniture/equipment,3108,Savings account, < 1 year,2,male : divorced/separated,none,4,building society savings agreement/ life insurance,31,none,own,1,unskilled - resident,1,None,yes,2
No Checking account,10,existing credits paid back duly till now,car(used),2901,Savings account, < 1 year,1,female : divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,Savings account,> 7 years,1,male : single,none,4,"car or other, not in attribute 6",28,none,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,Savings account,> 7 years,2,male : single,none,4,real estate,63,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(used),2812,Savings account,> 7 years,2,female : divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,36,critical account/ other credits existing (not at this bank),education,8065,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,unknown / no property,25,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,21,critical account/ other credits existing (not at this bank),car(used),3275,Savings account,> 7 years,1,male : single,none,4,"car or other, not in attribute 6",36,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,52,bank,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,12,critical account/ other credits existing (not at this bank),car(new),1480,Savings account,unemployed,2,male : single,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled - non-resident,1,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),1371,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee / official,1,None,yes,2
No Checking account,36,critical account/ other credits existing (not at this bank),car(new),3535,Savings account,4- 7 years,4,male : single,none,4,"car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,3509,Savings account,4- 7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,36,critical account/ other credits existing (not at this bank),car(used),5711,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",38,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,repairs,3872,Savings account,unemployed,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",67,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,39,critical account/ other credits existing (not at this bank),radio/television,4933,Savings account,4- 7 years,2,male : single,guarantor,2,real estate,25,none,own,2,skilled employee / official,1,None,yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),car(new),1940,Savings account,> 7 years,4,male : single,none,4,real estate,60,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,no credits taken/ all credits paid back duly,retraining,1410,Savings account,1 - 4 years,2,male : single,none,2,real estate,31,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),836,Savings account, < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,bank,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 2 year,20,existing credits paid back duly till now,car(used),6468,Savings account,unemployed,1,male : divorced/separated,none,4,real estate,60,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,business,1941,Savings account,1 - 4 years,4,male : single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
No Checking account,22,existing credits paid back duly till now,radio/television,2675,Savings account,> 7 years,3,male : single,none,4,"car or other, not in attribute 6",40,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,48,critical account/ other credits existing (not at this bank),car(used),2751,Savings account,> 7 years,4,male : single,none,3,"car or other, not in attribute 6",38,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,48,delay in paying off in the past,education,6224,Savings account,> 7 years,4,male : single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,40,critical account/ other credits existing (not at this bank),education,5998,Savings account,1 - 4 years,4,male : single,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,21,existing credits paid back duly till now,business,1188,Savings account,> 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,None,yes,2
No Checking account,24,existing credits paid back duly till now,car(used),6313,Savings account,> 7 years,3,male : single,none,4,"car or other, not in attribute 6",41,none,own,1,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
No Checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,Savings account,1 - 4 years,1,male : married/widowed,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,24,existing credits paid back duly till now,furniture/equipment,2892,Savings account,> 7 years,3,male : divorced/separated,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,furniture/equipment,3062,Savings account,> 7 years,4,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,9,existing credits paid back duly till now,furniture/equipment,2301,Savings account, < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,car(used),7511,Savings account,> 7 years,1,male : single,none,4,building society savings agreement/ life insurance,51,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,Savings account, < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,2,unskilled - resident,1,None,yes,1
No Checking account,24,delay in paying off in the past,car(new),717,Savings account,> 7 years,4,male : married/widowed,none,4,"car or other, not in attribute 6",54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,car(new),1549,Savings account, < 1 year,4,male : single,none,2,real estate,35,none,own,1,unemployed/ unskilled - non-resident,1,None,yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),education,1597,Savings account,> 7 years,4,male : single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,None,yes,1
Salary assignments for at least 2 year,18,critical account/ other credits existing (not at this bank),radio/television,1795,Savings account,> 7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,Savings account,> 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),7472,Savings account,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled - non-resident,1,None,yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,car(new),9271,Savings account,4- 7 years,2,male : single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,6,existing credits paid back duly till now,radio/television,590,Savings account, < 1 year,3,male : married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,None,no,1
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,Savings account,> 7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,42,all credits at this bank paid back duly,car(used),9283,Savings account,unemployed,1,male : single,none,2,unknown / no property,55,bank,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,15,no credits taken/ all credits paid back duly,car(new),1778,Savings account, < 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled - non-resident,1,None,yes,2
Salary assignments for at least 2 year,8,existing credits paid back duly till now,business,907,Savings account, < 1 year,3,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,6,existing credits paid back duly till now,radio/television,484,Savings account,4- 7 years,3,male : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,36,critical account/ other credits existing (not at this bank),car(used),9629,Savings account,4- 7 years,4,male : single,none,4,"car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,48,existing credits paid back duly till now,domestic appliances,3051,Savings account,1 - 4 years,3,male : single,none,4,"car or other, not in attribute 6",54,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,48,existing credits paid back duly till now,car(new),3931,Savings account,4- 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,None,yes,2
Salary assignments for at least 2 year,36,delay in paying off in the past,car(new),7432,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,None,yes,1
No Checking account,6,existing credits paid back duly till now,domestic appliances,1338,Savings account,1 - 4 years,1,male : divorced/separated,none,4,real estate,62,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,Savings account,4- 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,others,15857,Savings account,unemployed,2,male : divorced/separated,co-applicant,3,"car or other, not in attribute 6",43,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,1345,Savings account,1 - 4 years,4,male : married/widowed,none,3,real estate,26,bank,own,1,skilled employee / official,1,None,yes,2
No Checking account,12,existing credits paid back duly till now,car(new),1101,Savings account,1 - 4 years,3,male : married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,12,existing credits paid back duly till now,radio/television,3016,Savings account,1 - 4 years,3,male : married/widowed,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,2712,Savings account,> 7 years,2,male : single,none,2,building society savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,None,yes,2
Salary assignments for at least 1 year,8,critical account/ other credits existing (not at this bank),car(new),731,Savings account,> 7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,1,None,yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,Savings account, < 1 year,3,male : divorced/separated,none,2,"car or other, not in attribute 6",35,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),car(new),1602,Savings account,> 7 years,4,male : married/widowed,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,critical account/ other credits existing (not at this bank),car(new),3966,Savings account,> 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,18,no credits taken/ all credits paid back duly,business,4165,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,2,None,yes,2
Salary assignments for at least 1 year,36,existing credits paid back duly till now,car(used),8335,Savings account,> 7 years,3,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,48,delay in paying off in the past,business,6681,Savings account,1 - 4 years,4,male : single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,24,delay in paying off in the past,business,2375,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,car(new),1216,Savings account, < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,45,no credits taken/ all credits paid back duly,business,11816,Savings account,> 7 years,2,male : single,none,4,"car or other, not in attribute 6",29,none,rent,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,24,existing credits paid back duly till now,radio/television,5084,Savings account,> 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,15,existing credits paid back duly till now,radio/television,2327,Savings account, < 1 year,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 1 year,12,no credits taken/ all credits paid back duly,car(new),1082,Savings account,1 - 4 years,4,male : single,none,4,"car or other, not in attribute 6",48,bank,own,2,skilled employee / official,1,None,yes,2
No Checking account,12,existing credits paid back duly till now,radio/television,886,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,4,existing credits paid back duly till now,furniture/equipment,601,Savings account, < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car(used),2957,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,Savings account,> 7 years,4,male : married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,5179,Savings account,4- 7 years,4,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,21,delay in paying off in the past,car(used),2993,Savings account,1 - 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,repairs,1943,Savings account, < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,24,all credits at this bank paid back duly,business,1559,Savings account,4- 7 years,4,male : single,none,4,"car or other, not in attribute 6",50,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,18,existing credits paid back duly till now,furniture/equipment,3422,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,21,existing credits paid back duly till now,furniture/equipment,3976,Savings account,4- 7 years,2,male : single,none,3,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,18,existing credits paid back duly till now,car(new),6761,Savings account,1 - 4 years,2,male : single,none,4,"car or other, not in attribute 6",68,none,rent,2,skilled employee / official,1,None,yes,2
No Checking account,24,existing credits paid back duly till now,car(new),1249,Savings account, < 1 year,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,1364,Savings account,4- 7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,709,Savings account,> 7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 1 year,20,critical account/ other credits existing (not at this bank),car(new),2235,Savings account,1 - 4 years,4,male : married/widowed,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,None,no,2
No Checking account,24,critical account/ other credits existing (not at this bank),car(used),4042,Savings account,4- 7 years,3,male : single,none,4,building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,Savings account,1 - 4 years,4,male : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,all credits at this bank paid back duly,car(new),1442,Savings account,4- 7 years,4,male : single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,None,yes,2
No Checking account,36,delay in paying off in the past,car(new),10875,Savings account,> 7 years,2,male : single,none,2,"car or other, not in attribute 6",45,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,car(new),1474,Savings account, < 1 year,4,male : married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,10,existing credits paid back duly till now,retraining,894,Savings account,4- 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,Savings account,1 - 4 years,4,male : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,15,existing credits paid back duly till now,car(new),3959,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,9,existing credits paid back duly till now,car(new),3577,Savings account,1 - 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,None,no,1
No Checking account,24,critical account/ other credits existing (not at this bank),car(used),5804,Savings account,1 - 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,18,delay in paying off in the past,business,2169,Savings account,1 - 4 years,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,2439,Savings account, < 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,Savings account, < 1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,1
No Checking account,10,existing credits paid back duly till now,furniture/equipment,2210,Savings account,1 - 4 years,2,male : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,None,yes,2
No Checking account,15,existing credits paid back duly till now,furniture/equipment,2221,Savings account,1 - 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2389,Savings account, < 1 year,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,None,yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,Savings account,> 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,None,yes,1
No Checking account,36,existing credits paid back duly till now,business,7409,Savings account,> 7 years,3,male : single,none,2,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,652,Savings account,> 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,None,yes,1
No Checking account,36,delay in paying off in the past,furniture/equipment,7678,Savings account,4- 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,6,critical account/ other credits existing (not at this bank),car(new),1343,Savings account,> 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,None,no,1
Salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),business,1382,Savings account,4- 7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,15,existing credits paid back duly till now,domestic appliances,874,Savings account, < 1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,3590,Savings account,1 - 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 2 year,11,critical account/ other credits existing (not at this bank),car(new),1322,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1940,Savings account, < 1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,36,existing credits paid back duly till now,radio/television,3595,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,9,existing credits paid back duly till now,car(new),1422,Savings account, < 1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,Savings account,4- 7 years,2,male : single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,car(used),7814,Savings account,4- 7 years,3,male : single,none,3,"car or other, not in attribute 6",38,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,car(used),9277,Savings account,1 - 4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
